within_diff,p_value,n_users,on_days,name,group,n_tests,bonf_threshold,sig_corrected,sig_uncorrected
-0.016016193084677832,0.7617860614730407,1503,25545,Grains (category),Food Category,6,0.008333333333333333,False,False
-0.023956268200997832,0.6035239187443069,1258,18241,Fruits (category),Food Category,6,0.008333333333333333,False,False
-0.053524731898855316,0.8524962945202242,1546,26098,Protein (category),Food Category,6,0.008333333333333333,False,False
-0.06064175134518168,0.2111228158735795,1253,27731,Caffeine (category),Food Category,6,0.008333333333333333,False,False
0.02720248200109998,0.13886659854416944,1503,24898,Sugar (category),Food Category,6,0.008333333333333333,False,False
0.17402052495483378,4.4645426668024605e-53,1264,20771,Tired,Tag / Lifestyle,15,0.0033333333333333335,True,True
0.11935050382071744,6.1483748234812e-28,968,11007,Stressed,Tag / Lifestyle,15,0.0033333333333333335,True,True
0.011942154436123453,0.01780352308808206,679,7553,Walked,Tag / Lifestyle,15,0.0033333333333333335,False,True
-0.035496111141379405,0.4487084857692091,507,6022,Ate Breakfast,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.12583549882224943,3.9837257181449816e-18,572,6629,Good Sleep,Tag / Lifestyle,15,0.0033333333333333335,True,True
0.008257614160559812,0.050029086654366325,568,4217,Period,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.04689086173484014,0.7415562694606529,307,3657,Dairy,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.011340970009705131,0.21907174580536204,333,2959,Alcohol,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.03571990906010469,0.2657763901879311,239,2609,Gluten,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.06049396902407356,0.02673889211631584,263,1762,Had Sex,Tag / Lifestyle,15,0.0033333333333333335,False,True
0.055042777045591684,0.0006312193884137958,108,890,Bad Sleep,Tag / Lifestyle,15,0.0033333333333333335,True,True
0.2082079279531509,2.3217433798394668e-05,58,936,Exhausted,Tag / Lifestyle,15,0.0033333333333333335,True,True
-0.022420426848247077,0.673370286229956,97,906,Worked,Tag / Lifestyle,15,0.0033333333333333335,False,False
-0.020785453733720982,0.1555661645296669,64,726,Went To Work,Tag / Lifestyle,15,0.0033333333333333335,False,False
0.06654843663060128,0.00022462371403985287,71,643,Poor Sleep,Tag / Lifestyle,15,0.0033333333333333335,True,True
0.04441106834798758,0.27507664711775903,83,2862,Ibuprofen,Treatment,20,0.0025,False,False
0.34521382170279197,0.5304183482437215,42,1277,Vitamin D3,Treatment,20,0.0025,False,False
-0.1265681494822808,0.12750116607041917,38,1601,Paracetamol,Treatment,20,0.0025,False,False
0.1350107048472886,0.2841644287109375,26,716,Gabapentin,Treatment,20,0.0025,False,False
-0.11616074259851827,0.9616750144091413,34,746,Magnesium,Treatment,20,0.0025,False,False
0.17563663768808258,0.682713508605957,25,1809,Naproxen,Treatment,20,0.0025,False,False
-0.02952241463484684,0.625,16,477,Cymbalta,Treatment,20,0.0025,False,False
0.1357996507128426,0.06844425201416016,25,879,Vitamin D,Treatment,20,0.0025,False,False
0.08284808248646247,0.42626953125,20,793,Tramadol,Treatment,20,0.0025,False,False
0.011125530910806924,1.0,21,815,Multivitamin,Treatment,20,0.0025,False,False
-0.3036247172644504,1.0,13,228,Plaquenil,Treatment,20,0.0025,False,False
0.20301398353579536,0.8971253901089049,22,543,Omeprazole,Treatment,20,0.0025,False,False
-0.28383347656546876,0.635498046875,18,851,Probiotic,Treatment,20,0.0025,False,False
-0.11561498662433489,0.7303419969975948,38,736,Prednisone,Treatment,20,0.0025,False,False
0.29612113903857507,0.083984375,11,357,Folic Acid,Treatment,20,0.0025,False,False
-0.3568892045454546,0.04248046875,14,1024,Yoga,Treatment,20,0.0025,False,True
-0.15693068107479463,0.7675895769431582,24,277,Melatonin,Treatment,20,0.0025,False,False
-0.16396920732787645,0.128027081489563,29,818,Tylenol,Treatment,20,0.0025,False,False
